t_ATM,atm,time,day,date,time_interval,time_period,visits_hr
53,2,16:54,Tuesday,04.05.20,16:10-17:10,evening,
56,2,16:55,Tuesday,04.05.20,16:10-17:10,evening,
54,2,16:57,Tuesday,04.05.20,16:10-17:10,evening,
19,2,17:05,Tuesday,04.05.20,16:10-17:10,evening,
58,2,17:06,Tuesday,04.05.20,16:10-17:10,evening,
57,2,17:08,Tuesday,04.05.20,16:10-17:10,evening,
56,2,17:09,Tuesday,04.05.20,16:10-17:10,evening,25
54,2,13:05,Tuesday,19.05.20,13:00-14:00,afternoon,
45,2,13:07,Tuesday,19.05.20,13:00-14:00,afternoon,
36,2,13:17,Tuesday,19.05.20,13:00-14:00,afternoon,
14,2,13:20,Tuesday,19.05.20,13:00-14:00,afternoon,
19,2,13:21,Tuesday,19.05.20,13:00-14:00,afternoon,
56,2,13:25,Tuesday,19.05.20,13:00-14:00,afternoon,
31,2,13:28,Tuesday,19.05.20,13:00-14:00,afternoon,
25,2,13:30,Tuesday,19.05.20,13:00-14:00,afternoon,
27,2,13:42,Tuesday,19.05.20,13:00-14:00,afternoon,
42,2,13:45,Tuesday,19.05.20,13:00-14:00,afternoon,
65,2,13:47,Tuesday,19.05.20,13:00-14:00,afternoon,
40,2,13:48,Tuesday,19.05.20,13:00-14:00,afternoon,
56,2,13:49,Tuesday,19.05.20,13:00-14:00,afternoon,
37,2,13:50,Tuesday,19.05.20,13:00-14:00,afternoon,
66,2,13:55,Tuesday,19.05.20,13:00-14:00,afternoon,15
52,2,17:08,Wednesday,20.05.20,17:00-18:00,evening,
58,2,17:10,Wednesday,20.05.20,17:00-18:00,evening,
51,2,17:13,Wednesday,20.05.20,17:00-18:00,evening,
47,2,17:22,Wednesday,20.05.20,17:00-18:00,evening,
27,2,17:23,Wednesday,20.05.20,17:00-18:00,evening,
35,2,17:25,Wednesday,20.05.20,17:00-18:00,evening,
25,2,17:34,Wednesday,20.05.20,17:00-18:00,evening,
62,2,17:35,Wednesday,20.05.20,17:00-18:00,evening,
48,2,17:37,Wednesday,20.05.20,17:00-18:00,evening,
34,2,17:38,Wednesday,20.05.20,17:00-18:00,evening,
83,2,17:38,Wednesday,20.05.20,17:00-18:00,evening,
31,2,17:45,Wednesday,20.05.20,17:00-18:00,evening,
33,2,17:46,Wednesday,20.05.20,17:00-18:00,evening,
30,2,17:50,Wednesday,20.05.20,17:00-18:00,evening,
32,2,17:54,Wednesday,20.05.20,17:00-18:00,evening,15
