"","df_conc","Q_05","Q_25","Q_50","Q_75","Q_95"
"84",0.0093,3.55322569700611e-09,1.0457706645095e-08,1.95313405448871e-08,3.1009209949806e-08,7.01984259721122e-08
"85",0.0094,6.70932195356855e-09,1.00693544613506e-08,1.9340343770935e-08,3.61625334677207e-08,1.07507104901705e-07
"86",0.0095,4.71238671417851e-09,1.0888380086449e-08,2.845179158939e-08,4.90170465883288e-08,1.15752017038062e-07
"87",0.0096,4.11064772221081e-09,1.00307406269984e-08,1.86359656040302e-08,3.78660807154318e-08,6.74485384932754e-08
"88",0.0097,4.18919823830244e-09,1.13922422884105e-08,1.86792492584686e-08,3.37123777505166e-08,9.77339468744009e-08
"89",0.0098,2.95683436069005e-09,1.12971323407152e-08,2.00891347446053e-08,4.56523411296317e-08,1.24647579230475e-07
"90",0.0099,6.04332137665864e-09,1.32783471440412e-08,1.97877519925171e-08,4.02874616445281e-08,8.78640179335921e-08
"91",0.01,2.78076699999907e-09,1.05646552062133e-08,1.92403792897977e-08,3.56132085488348e-08,1.34352794278758e-07
"92",0.01,4.59159662513642e-09,1.21139359932076e-08,2.16967845356741e-08,4.2937383842867e-08,8.92983866407349e-08
"93",0.011,4.82172064497632e-09,1.21948301734509e-08,2.43281391143491e-08,3.83145113136418e-08,1.27730086330047e-07
"94",0.012,6.88347185362481e-09,1.61900022555006e-08,3.14269499868125e-08,5.89897995173505e-08,1.19805055098787e-07
"95",0.013,7.79622861268869e-09,1.55553112890505e-08,2.77770320078474e-08,4.82955178349176e-08,1.0623974293078e-07
"96",0.014,4.70453584977548e-09,1.69365328150928e-08,3.07610190652952e-08,5.81068386185102e-08,1.30794808528289e-07
"97",0.015,6.38749702575048e-09,1.94017957533266e-08,3.23915763100757e-08,6.35823104444544e-08,1.33209483998975e-07
"98",0.016,7.12730372498527e-09,1.96929970941451e-08,3.26834573849411e-08,5.66169115756576e-08,1.38672707367116e-07
"99",0.017,8.52632006109744e-09,2.32936950284035e-08,3.17841921670947e-08,6.30093691944555e-08,1.50005477428383e-07
"100",0.018,4.46595884162626e-09,1.49289762219063e-08,3.26560395391695e-08,7.16920701970825e-08,1.45594369599378e-07
"101",0.019,6.7720556606865e-09,2.78870551928545e-08,4.58913969048069e-08,8.11708429915292e-08,1.53752266757179e-07
"102",0.02,8.39738690805447e-09,2.19641842491569e-08,3.60457952930382e-08,7.33265358154878e-08,1.75199405960669e-07
"103",0.021,1.1072059097339e-08,2.68473662190516e-08,4.43605543409831e-08,8.12532701122137e-08,1.93041784879444e-07
"104",0.022,3.91133844757086e-09,2.17969847171595e-08,4.47193843622351e-08,7.55813769903746e-08,1.50993431002888e-07
"105",0.023,1.05603769895435e-08,2.36130536512835e-08,4.51673197177094e-08,8.53644817055965e-08,2.51716017840575e-07
"106",0.024,1.39841877855318e-08,2.90557050086626e-08,4.5531327375059e-08,8.13413237876759e-08,1.92071170651564e-07
"107",0.025,1.69652099202278e-08,3.0528768624194e-08,5.72282251587453e-08,1.08986444008474e-07,1.99195234223959e-07
"108",0.026,1.68679998913124e-08,3.24404711149473e-08,4.56379892765924e-08,1.03760243952422e-07,2.18545393609881e-07
"109",0.027,1.11040358907744e-08,3.54223582688107e-08,4.86439654112658e-08,1.03410715879271e-07,2.35546495030992e-07
"110",0.028,9.7216258210242e-09,2.78450682789089e-08,5.60034141283694e-08,1.04954941820834e-07,1.82446975993677e-07
"111",0.029,1.97297472415148e-08,4.39475166535974e-08,8.56772333635014e-08,1.44170141380684e-07,3.10666477743027e-07
"112",0.03,1.59586307890702e-08,3.3713210750852e-08,6.05340716441916e-08,1.09024156424997e-07,2.56530842429603e-07
"113",0.031,1.68994478189077e-08,3.61079446897783e-08,6.12697194646294e-08,1.17164729418473e-07,2.85033488195419e-07
"114",0.032,1.41028410338695e-08,3.77747278457186e-08,7.41840401330407e-08,1.18159327433531e-07,2.93603891393657e-07
"115",0.033,1.22946414271574e-08,4.54011545303334e-08,7.52627906663861e-08,1.3127698314519e-07,4.09261413436557e-07
"116",0.034,1.39518664121763e-08,3.67993033267844e-08,6.57767292300271e-08,1.29446774715936e-07,2.4976507926322e-07
"117",0.035,1.38254195536369e-08,3.93167547685369e-08,7.09441689838997e-08,1.18504308865841e-07,3.60826805784198e-07
"118",0.036,2.14637568163312e-08,4.35777610385824e-08,7.12923886592165e-08,1.4324109337549e-07,3.28548777189797e-07
"119",0.037,2.02433617202402e-08,4.74933084526619e-08,7.80481575479719e-08,1.49179686187439e-07,2.38096942611898e-07
"120",0.038,1.51206090925893e-08,3.30966009043365e-08,7.27094242036763e-08,1.27164813512604e-07,3.21527508090336e-07
"121",0.039,1.90674886602071e-08,4.64718072079595e-08,7.40785873754035e-08,1.18268863591453e-07,3.38562507928852e-07
"122",0.04,2.10349004048371e-08,4.08750629732335e-08,8.29805104074488e-08,1.63197710012497e-07,3.18960613365782e-07
"123",0.041,2.0288684909886e-08,4.6658157087931e-08,8.84699931091859e-08,1.6922449663781e-07,5.37301800596079e-07
"124",0.042,1.01767433535738e-08,4.37759532234683e-08,9.65251220064189e-08,1.47242873671516e-07,2.85258769211483e-07
"125",0.043,2.64457264420592e-08,5.0509152915712e-08,1.03531111350641e-07,1.62488549615425e-07,5.22461132845819e-07
"126",0.044,1.73207100884198e-08,4.14953605643031e-08,7.66776110938672e-08,1.34661198913921e-07,3.47292290481249e-07
"127",0.045,2.62168787512618e-08,5.41335191950321e-08,1.03404935447582e-07,1.89220059121364e-07,6.42983110410444e-07
"128",0.046,1.61315838742571e-08,4.85799863392256e-08,8.76778480929374e-08,1.35913413829014e-07,3.58547206064097e-07
"129",0.047,3.52914259538206e-08,7.15300065012858e-08,1.12172316490966e-07,2.20306469400633e-07,4.56250240921108e-07
"130",0.048,3.0033845133115e-08,5.90561735347439e-08,1.09435641437727e-07,1.98162872194763e-07,6.02017724576908e-07
"131",0.049,1.86646982425209e-08,5.79659888699791e-08,9.89610327017942e-08,1.90225234508734e-07,4.21644026810108e-07
"132",0.05,2.05381997686604e-08,5.48907917452546e-08,1.11670923008678e-07,2.0483593293763e-07,6.99572087903277e-07
"133",0.051,2.14245451435335e-08,5.83632133732692e-08,1.14081136926014e-07,2.10359380525826e-07,4.53182679543973e-07
"134",0.052,2.5404581144306e-08,7.44188443368987e-08,1.19966250156089e-07,2.05833221328389e-07,3.76071079771778e-07
"135",0.053,2.74947357770117e-08,6.2165502079381e-08,1.08258106201742e-07,2.0207226819613e-07,5.20515786339715e-07
"136",0.054,2.31926050919817e-08,5.95809869219366e-08,1.01642788963296e-07,1.92901125212197e-07,4.57090969940843e-07
"137",0.055,3.34383733646693e-08,7.48503629910413e-08,1.46493746910892e-07,2.59650564243818e-07,5.49586482789799e-07
"138",0.056,2.17380984601778e-08,5.3651242754027e-08,1.00582191908671e-07,2.12126061521767e-07,6.06606630043637e-07
"139",0.057,3.34790492717563e-08,6.87686075029337e-08,1.3108163643416e-07,2.31670485795199e-07,5.72290754208282e-07
"140",0.058,2.89741183656655e-08,7.15565097175741e-08,1.25159873576308e-07,2.31282537871413e-07,5.52166854095315e-07
"141",0.059,3.85303258298997e-08,7.30371417234643e-08,1.40600186715467e-07,2.70109180189326e-07,9.04991500821905e-07
"142",0.06,2.87591457592828e-08,7.64160192068264e-08,1.32743455061313e-07,2.38375626238074e-07,5.49509628366973e-07
"143",0.061,3.39002840632485e-08,8.26707869661103e-08,1.2491478112997e-07,2.63208636108736e-07,7.24790800837871e-07
"144",0.062,4.29772128385242e-08,8.17119170104519e-08,1.26346312523395e-07,2.383117079785e-07,5.84675814407909e-07
"145",0.063,3.56084259411915e-08,7.28977112840479e-08,1.64143500624991e-07,2.81798237994346e-07,7.5714321466358e-07
"146",0.064,2.15653523594206e-08,6.63203754691644e-08,1.2597358273192e-07,2.7370585042874e-07,6.3022635982124e-07
"147",0.065,4.01554596796139e-08,7.64732865643492e-08,1.37582522208302e-07,2.59905117816484e-07,7.3413144439649e-07
"148",0.066,3.87340838736705e-08,7.80046433557224e-08,1.44301063542684e-07,2.29870363077644e-07,3.84169360401199e-07
"149",0.067,3.38130564769834e-08,7.95455706026349e-08,1.52263423869314e-07,2.43875407146543e-07,6.88715345043001e-07
"150",0.068,3.48987589438021e-08,7.59142041451e-08,1.40847518981246e-07,2.57948243403971e-07,5.42979950496347e-07
"151",0.069,2.628505971769e-08,1.00277566583706e-07,1.5945458281541e-07,3.10898004479698e-07,7.68041674653608e-07
"152",0.07,3.03109370769494e-08,9.68922161670438e-08,1.52281282750355e-07,2.16781406742195e-07,6.02330919374783e-07
"153",0.071,2.62221260149964e-08,7.67637386434039e-08,1.42983077100478e-07,2.78080959426052e-07,7.63382983715033e-07
"154",0.072,3.42648575235582e-08,9.81859936410867e-08,1.632206816371e-07,2.99059444042182e-07,7.02216022219204e-07
"155",0.073,4.5769731699119e-08,8.8052965724339e-08,1.55769293630481e-07,3.5146249424689e-07,6.01608959449606e-07
"156",0.074,3.59352020140591e-08,7.96926419577293e-08,1.42100909150678e-07,2.69614230441473e-07,6.52720854155131e-07
"157",0.075,3.40491940753473e-08,7.56866626039354e-08,1.91926693537958e-07,4.17809795955071e-07,7.56336059604123e-07
"158",0.076,4.3371472824294e-08,7.9630690874577e-08,1.7624954345985e-07,3.3002565991147e-07,6.54920466430786e-07
"159",0.077,3.31204561054843e-08,7.97873266900062e-08,1.54809135954892e-07,3.75960003906606e-07,6.82814949731769e-07
"160",0.078,4.68226027394714e-08,8.55084090201075e-08,1.55222751818673e-07,2.90721470758148e-07,6.37715136736494e-07
"161",0.079,3.80989387649411e-08,1.05472398176376e-07,1.89649315252005e-07,3.47699953801017e-07,9.27155156948967e-07
"162",0.08,3.99664253858401e-08,8.91735000285721e-08,1.99714941417906e-07,3.30474226040156e-07,5.85423269960916e-07
"163",0.081,4.61543004148801e-08,1.19802644554801e-07,1.84138332193218e-07,3.27318622456163e-07,8.25431229134477e-07
"164",0.082,4.66016225886268e-08,1.13877297119869e-07,1.93969560025042e-07,3.75736162461227e-07,7.73230452594253e-07
"165",0.083,4.62237143450395e-08,9.9564528649454e-08,1.80329004950686e-07,3.36212648194278e-07,8.11055234972712e-07
"166",0.084,3.15939250317143e-08,1.05259737120944e-07,1.97895979159313e-07,3.87341059004953e-07,7.35028414844407e-07
"167",0.085,5.20283402360988e-08,1.0238032990828e-07,1.72536522125011e-07,2.74343618628103e-07,8.62616847258079e-07
"168",0.086,4.50123410600245e-08,1.01579932243467e-07,2.1374682346309e-07,3.83554186716983e-07,1.16556010543167e-06
"169",0.087,3.50926368519744e-08,9.79673493439748e-08,1.6178820783086e-07,3.31478061416091e-07,6.4383218345565e-07
"170",0.088,5.87433769516643e-08,1.28210852018418e-07,2.18275394814338e-07,3.9299582491048e-07,7.11621820981279e-07
"171",0.089,4.18414277503221e-08,8.92283085751622e-08,1.80821790152219e-07,3.11612988107557e-07,7.71767266638523e-07
"172",0.09,5.82226326761859e-08,1.28862127940499e-07,2.26097824296279e-07,3.82725292402686e-07,9.54141353448623e-07
"173",0.091,5.14360169345807e-08,1.16548052764287e-07,2.28121923795399e-07,3.94662783870237e-07,1.23061368094701e-06
"174",0.092,2.79384503643065e-08,9.44801668567585e-08,1.87423246200691e-07,3.47502251030196e-07,7.7720969889894e-07
"175",0.093,5.40984276986567e-08,1.34224368175673e-07,1.99615713014634e-07,3.50356919809336e-07,7.54792046553376e-07
"176",0.094,6.19319434236321e-08,1.37904540564726e-07,2.33477693234452e-07,4.09170458848251e-07,8.70515326756305e-07
"177",0.095,5.47940439910022e-08,1.3269078033562e-07,2.25378189167014e-07,4.62145003654602e-07,1.14197599997978e-06
"178",0.096,4.80062341490228e-08,1.35643316051537e-07,2.05704816125252e-07,4.44403859961584e-07,9.23774923972109e-07
"179",0.097,5.41491328664989e-08,1.14189560279643e-07,1.81552113009964e-07,4.0371677029194e-07,1.04805999566748e-06
"180",0.098,5.30355032668517e-08,1.41305967121808e-07,2.30083887220456e-07,4.37805449449158e-07,1.02682915080199e-06
"181",0.099,4.45294794815254e-08,1.25458046257299e-07,2.00642488290548e-07,3.5314125881869e-07,8.70972753391763e-07
"182",0.1,3.30723912367326e-08,1.28910278007766e-07,2.51843261467322e-07,4.0045344407158e-07,7.08536317084452e-07
"183",0.1,4.59898051474728e-08,1.06679624828354e-07,2.05188751101204e-07,3.73999650832291e-07,9.04957310504661e-07
"184",0.11,4.08430411324989e-08,1.07654087172504e-07,1.9050051863756e-07,3.45701042736568e-07,9.3596817397068e-07
"185",0.12,6.69749005477449e-08,1.38226442569778e-07,2.9032267634399e-07,5.90106542602831e-07,1.21661888041746e-06
"186",0.13,7.57644887050546e-08,1.52925696300654e-07,2.68308716355747e-07,5.86301188543192e-07,1.0419004386808e-06
"187",0.14,7.78347713170646e-08,1.51029642098122e-07,3.18026158852014e-07,6.69658162560927e-07,1.28189376692456e-06
"188",0.15,5.76614058833691e-08,1.82143446325611e-07,3.42456004276404e-07,5.54664378482617e-07,1.16548976826225e-06
"189",0.16,6.14229698048252e-08,1.80830316082181e-07,3.13340653257388e-07,5.54524617640828e-07,1.18301162756462e-06
"190",0.17,7.57481582125408e-08,1.73622897586823e-07,3.44206831703886e-07,7.2033836354124e-07,2.02423326124412e-06
"191",0.18,4.77062783499349e-08,1.86768674914628e-07,4.23876329647133e-07,6.82919092498402e-07,1.6649918104461e-06
"192",0.19,7.09903669904311e-08,2.68634639782883e-07,4.1782064058582e-07,8.35991418590698e-07,2.26433974268581e-06
"193",0.2,8.07441804584474e-08,2.05117002910482e-07,3.80768776564455e-07,6.52969452674679e-07,1.36199655093594e-06
"194",0.21,9.02927575818779e-08,2.46051551383575e-07,4.06349288550878e-07,6.76564517215761e-07,1.60183964314497e-06
"195",0.22,3.33145003972302e-08,2.14455793567936e-07,4.37061286495677e-07,7.29825494982794e-07,1.67669308865914e-06
"196",0.23,8.59111300766102e-08,2.80546584269237e-07,4.68266532271944e-07,1.02664295351107e-06,2.15014212122111e-06
"197",0.24,1.41262206859727e-07,2.54776174546389e-07,4.32311960896214e-07,8.60679364861339e-07,2.20507717532126e-06
"198",0.25,9.62368916390677e-08,2.76220237155345e-07,5.83069335424735e-07,1.21414279777299e-06,2.75000000327097e-06
"199",0.26,9.42913624790709e-08,2.16709121814151e-07,4.75173818348384e-07,7.55981041461462e-07,1.55114443432525e-06
"200",0.27,9.57764705267206e-08,2.4283046012874e-07,3.79579231546412e-07,8.13048097847435e-07,2.4135291870564e-06
"201",0.28,1.84432801458856e-07,3.51604586334986e-07,5.57260391276237e-07,1.04221640701008e-06,2.63855214820974e-06
"202",0.29,1.05863623683922e-07,3.44511883521026e-07,5.70506008823468e-07,1.2038950357729e-06,2.55478306602774e-06
"203",0.3,1.458796324183e-07,3.31061268232791e-07,5.67338077628321e-07,1.13800573633971e-06,2.22743295096306e-06
"204",0.31,1.31058488123115e-07,2.91093803755915e-07,6.83897461106753e-07,1.13308216112551e-06,2.97870867412842e-06
"205",0.32,1.62215990051617e-07,4.59184360535048e-07,7.02735829138934e-07,1.42552903720228e-06,2.49074617784117e-06
"206",0.33,1.68781339582313e-07,3.5854337304686e-07,6.30216151487062e-07,9.98417858139033e-07,2.94481864080431e-06
"207",0.34,1.19182751284752e-07,3.63897727589935e-07,7.4496508667421e-07,1.30399346603971e-06,3.39150233427676e-06
"208",0.35,1.62332944886323e-07,4.45055126391258e-07,7.51023544909302e-07,1.35925427507955e-06,3.75375846997095e-06
"209",0.36,1.70503226004648e-07,4.8723230053338e-07,8.47286860949925e-07,1.41555756669187e-06,2.79395152734119e-06
"210",0.37,1.40285997157763e-07,4.813017050187e-07,7.64987527435146e-07,1.44666331844401e-06,3.82612301540464e-06
"211",0.38,1.47313086956702e-07,3.8319820516719e-07,6.69400491981609e-07,1.21864970237251e-06,3.48803253177321e-06
"212",0.39,2.09915086912815e-07,4.33077046918529e-07,8.77847999680714e-07,1.72264665651567e-06,4.68245077732687e-06
"213",0.4,2.08155638786733e-07,5.20653585106556e-07,8.59361324101471e-07,1.50023924161413e-06,4.75670142970341e-06
"214",0.41,2.24066956056035e-07,4.13864210208059e-07,7.93353573724787e-07,1.57074919204803e-06,4.45700243341118e-06
"215",0.42,2.41515981352913e-07,5.65468659702306e-07,8.66492056272872e-07,1.92177962451967e-06,4.43512103034394e-06
"216",0.43,2.34415809802213e-07,5.15471174883375e-07,9.47170358200911e-07,1.47073465742165e-06,3.32120220392085e-06
"217",0.44,2.87724653202925e-07,5.92638938423651e-07,1.01762854121112e-06,2.22815104991558e-06,5.18480541593646e-06
"218",0.45,1.87082784525172e-07,5.54103305294706e-07,9.35215416830726e-07,1.69667247570948e-06,4.90912762280415e-06
"219",0.46,2.20910064441249e-07,7.17216934537079e-07,1.24672485302124e-06,1.94168156750218e-06,4.24014272908946e-06
"220",0.47,1.98356005398637e-07,4.70671645630416e-07,8.95470300910084e-07,1.84781545717327e-06,6.50191380526799e-06
"221",0.48,2.26183554152826e-07,4.7195600647032e-07,9.3227566350107e-07,1.7393183240344e-06,6.3644017102904e-06
"222",0.49,3.57300944081596e-07,6.71986022715565e-07,1.14267067319318e-06,2.26869732528057e-06,4.05169569151487e-06
"223",0.5,2.4692692320305e-07,7.0484946473881e-07,1.07431811108283e-06,1.75694429102591e-06,3.52908781717231e-06
