"","condition","risk"
"175","d_I1",8.5043083686287e-14
"176","d_I1",3.63042929052426e-14
"177","d_I1",1.55431223447522e-14
"178","d_I1",6.66133814775094e-15
"179","d_I1",2.77555756156289e-15
"180","d_I1",1.22124532708767e-15
"181","d_I1",5.55111512312578e-16
"182","d_I1",2.22044604925031e-16
"183","d_I1",1.11022302462516e-16
"184","d_I1",0
"185","d_I1",0
"186","d_I1",0
"187","d_I1",0
"188","d_I1",0
"189","d_I1",0
"190","d_I1",0
"191","d_I1",0
"192","d_I1",0
"193","d_I1",0
"194","d_I1",0
"195","d_I1",0
"196","d_I1",0
"197","d_I1",0
"198","d_I1",0
"199","d_I1",0
"200","d_I1",0
"201","d_I1",0
"202","d_I1",0
"203","d_I1",0
"204","d_I1",0
"205","d_I1",0
"206","d_I1",0
"207","d_I1",0
"208","d_I1",0
"209","d_I1",0
"210","d_I1",0
"211","d_I1",0
"212","d_I1",0
"213","d_I1",0
"214","d_I1",0
"215","d_I1",0
"216","d_I1",0
"217","d_I1",0
"218","d_I1",0
"219","d_I1",0
"220","d_I1",0
"221","d_I1",0
"222","d_I1",0
"223","d_I1",0
"224","d_I1",0
"225","d_I1",0
"226","d_I1",0
"227","d_I1",0
"228","d_I1",0
"229","d_I1",0
"230","d_I1",0
"231","d_I1",0
"232","d_I1",0
"233","d_I1",0
"234","d_I1",0
"235","d_I1",0
"236","d_I1",0
"237","d_I1",0
"238","d_I1",0
"239","d_I1",0
"240","d_I1",0
"241","d_I1",0
"242","d_I1",0
"243","d_I1",0
"244","d_I1",0
"245","d_I1",0
"246","d_I1",0
"247","d_I1",3.04583749444198e-07
"248","d_I1",1.30025567313119e-07
"249","d_I1",3.60091117035388e-07
"250","d_I1",1.53721439799526e-07
"251","d_I1",6.56230563222948e-08
"252","d_I1",2.80142147257578e-08
"253","d_I1",1.19591536673624e-08
"254","d_I1",5.10531372732714e-09
"255","d_I1",2.17943751934513e-09
"256","d_I1",9.3039298487696e-10
"257","d_I1",3.9718095479202e-10
"258","d_I1",1.69554925655291e-10
"259","d_I1",7.23823223580666e-11
"260","d_I1",3.08997272213674e-11
"261","d_I1",1.31910038447813e-11
"262","d_I1",5.63116220320126e-12
"263","d_I1",3.04586153410114e-07
"264","d_I1",4.34610303301497e-07
"265","d_I1",1.85533382657255e-07
"266","d_I1",7.92034458019231e-08
"267","d_I1",3.38116276088485e-08
"268","d_I1",1.44340455143777e-08
"269","d_I1",6.16183504220658e-09
"270","d_I1",2.63046218140772e-09
"271","d_I1",1.12293352394488e-09
"272","d_I1",4.79375761308631e-10
"273","d_I1",2.04643524348569e-10
"274","d_I1",8.73614514063092e-11
"275","d_I1",3.72942787763009e-11
"276","d_I1",1.59208202177297e-11
"277","d_I1",6.79656331215028e-12
"278","d_I1",2.90145685255538e-12
"279","d_I1",1.23856480627182e-12
"280","d_I1",3.04584278243425e-07
"281","d_I1",1.3002579302146e-07
"282","d_I1",5.55074808339384e-08
"283","d_I1",2.36959167843054e-08
"284","d_I1",1.01156899523502e-08
"285","d_I1",4.31834668024322e-09
"286","d_I1",1.84348447618277e-09
"287","d_I1",7.86976039890419e-10
"288","d_I1",3.35956817920646e-10
"289","d_I1",1.43418610321078e-10
"290","d_I1",6.12248030051887e-11
"291","d_I1",2.61366484011205e-11
"292","d_I1",3.04594907074573e-07
"293","d_I1",1.30030330391939e-07
"294","d_I1",5.55094178400495e-08
"295","d_I1",2.36967436784141e-08
"296","d_I1",1.01160428922498e-08
"297","d_I1",4.31849733750767e-09
"298","d_I1",1.84354886911819e-09
"299","d_I1",7.87003462399127e-10
"300","d_I1",3.35968586284707e-10
"301","d_I1",1.43423606324689e-10
"302","d_I1",6.12269124289355e-11
"303","d_I1",2.61375365795402e-11
"304","d_I1",1.11579634420877e-11
"305","d_I1",4.76330086485177e-12
"306","d_I1",2.03348449190344e-12
"307","d_I1",8.6808338295441e-13
"308","d_I1",3.70592445619877e-13
"309","d_I1",1.58206781009085e-13
"310","d_I1",6.75015598972095e-14
"311","d_I1",2.88657986402541e-14
"312","d_I1",1.23234755733392e-14
"313","d_I1",5.21804821573824e-15
"314","d_I1",2.22044604925031e-15
"315","d_I1",9.99200722162641e-16
"316","d_I1",4.44089209850063e-16
"317","d_I1",2.22044604925031e-16
"318","d_I1",1.11022302462516e-16
"319","d_I1",0
"320","d_I1",0
"321","d_I1",0
"322","d_I1",0
"323","d_I1",0
"324","d_I1",0
"325","d_I1",0
"326","d_I1",0
"327","d_I1",0
"328","d_I1",0
"329","d_I1",0
"330","d_I1",0
"331","d_I1",0
"332","d_I1",0
"333","d_I1",0
"334","d_I1",0
"335","d_I1",0
"336","d_I1",0
"337","d_I1",0
"338","d_I1",0
"339","d_I1",0
"340","d_I1",0
"341","d_I1",0
"342","d_I1",0
"343","d_I1",0
"344","d_I1",0
"345","d_I1",0
"346","d_I1",0
"347","d_I1",0
"348","d_I1",0
"349","d_I1",0
"350","d_I1",0
"351","d_I1",0
"352","d_I1",0
"353","d_I1",0
"354","d_I1",0
"355","d_I1",0
"356","d_I1",0
"357","d_I1",0
"358","d_I1",0
"359","d_I1",0
"360","d_I1",0
"361","d_I1",0
"362","d_I1",0
"363","d_I1",0
"364","d_I1",0
"365","d_I1",3.04583749444198e-07
"366","d_I1",1.30025567313119e-07
"367","d_I1",5.55073844665799e-08
"368","d_I1",2.36958755950312e-08
"369","d_I1",1.01156724108264e-08
"370","d_I1",4.31833913072666e-09
"371","d_I1",7.93595411607839e-10
"372","d_I1",3.38782668585225e-10
"373","d_I1",1.44624978659635e-10
"374","d_I1",6.17398354663123e-11
"375","d_I1",2.63564725599963e-11
"376","d_I1",1.12514442207612e-11
"377","d_I1",4.80315787143581e-12
"378","d_I1",2.0504709041802e-12
"379","d_I1",8.75299832614473e-13
"380","d_I1",3.73701070088828e-13
"381","d_I1",1.59539048638635e-13
"382","d_I1",6.80566714095221e-14
"383","d_I1",2.90878432451791e-14
"384","d_I1",1.24344978758018e-14
"385","d_I1",5.32907051820075e-15
"386","d_I1",2.22044604925031e-15
"387","d_I1",9.99200722162641e-16
"388","d_I1",4.44089209850063e-16
"389","d_I1",2.22044604925031e-16
"390","d_I1",1.11022302462516e-16
"391","d_I1",0
"392","d_I1",0
"393","d_I1",0
"394","d_I1",0
"395","d_I1",3.04583749444198e-07
"396","d_I1",1.30025567313119e-07
"397","d_I1",5.55073844665799e-08
"398","d_I1",2.36958755950312e-08
"399","d_I1",1.01156724108264e-08
"400","d_I1",4.31833913072666e-09
"401","d_I1",1.84348125653599e-09
"402","d_I1",7.86974596600487e-10
"403","d_I1",3.35956262809134e-10
"404","d_I1",1.43418388276473e-10
"405","d_I1",6.12246919828863e-11
"406","d_I1",2.61365373788180e-11
"407","d_I1",1.11576303751804e-11
"408","d_I1",4.76307882024685e-12
"409","d_I1",2.03337346960097e-12
"410","d_I1",8.6808338295441e-13
"411","d_I1",3.70592445619877e-13
"412","d_I1",1.58206781009085e-13
"413","d_I1",6.75015598972095e-14
"414","d_I1",2.88657986402541e-14
"415","d_I1",1.23234755733392e-14
"416","d_I1",5.21804821573824e-15
"417","d_I1",2.22044604925031e-15
"418","d_I1",3.04583750443399e-07
"419","d_I1",1.30025567646186e-07
"420","d_I1",5.55073846886245e-08
"421","d_I1",2.36958757060535e-08
"422","d_I1",1.01156724108264e-08
"423","d_I1",4.31833913072666e-09
"424","d_I1",1.8434813675583e-09
"425","d_I1",7.86974596600487e-10
"426","d_I1",3.35956262809134e-10
"427","d_I1",1.43418388276473e-10
"428","d_I1",6.12246919828863e-11
"429","d_I1",2.61365373788180e-11
"430","d_I1",1.11576303751804e-11
"431","d_I1",4.76307882024685e-12
"432","d_I1",2.03337346960097e-12
"433","d_I1",8.6808338295441e-13
"434","d_I1",3.70592445619877e-13
"435","d_I1",1.58206781009085e-13
"436","d_I1",6.75015598972095e-14
"437","d_I1",2.88657986402541e-14
"438","d_I1",1.23234755733392e-14
"439","d_I1",5.21804821573824e-15
"440","d_I1",2.22044604925031e-15
"441","d_I1",9.99200722162641e-16
"442","d_I1",4.44089209850063e-16
"443","d_I1",2.22044604925031e-16
"444","d_I1",1.11022302462516e-16
"445","d_I1",0
"446","d_I1",0
"447","d_I1",0
"448","d_I1",0
"449","d_I1",0
"450","d_I1",0
"451","d_I1",0
"452","d_I1",0
"453","d_I1",0
"454","d_I1",0
"455","d_I1",0
"456","d_I1",0
"457","d_I1",0
"458","d_I1",0
"459","d_I1",0
"460","d_I1",0
"461","d_I1",0
"462","d_I1",0
"463","d_I1",0
"464","d_I1",0
"465","d_I1",0
"466","d_I1",3.04583749444198e-07
"467","d_I1",1.30025567313119e-07
"468","d_I1",5.55073844665799e-08
"469","d_I1",2.36958755950312e-08
"470","d_I1",1.01156724108264e-08
"471","d_I1",4.31833913072666e-09
"472","d_I1",1.84348125653599e-09
"473","d_I1",7.86974596600487e-10
"474","d_I1",3.35956262809134e-10
"475","d_I1",1.43418388276473e-10
"476","d_I1",6.12246919828863e-11
"477","d_I1",2.61365373788180e-11
"478","d_I1",1.11576303751804e-11
"479","d_I1",4.76307882024685e-12
"480","d_I1",2.03337346960097e-12
"481","d_I1",8.6808338295441e-13
"482","d_I1",3.70592445619877e-13
"483","d_I1",1.58206781009085e-13
"484","d_I1",6.75015598972095e-14
"485","d_I1",2.88657986402541e-14
"486","d_I1",1.23234755733392e-14
"487","d_I1",5.21804821573824e-15
"488","d_I1",2.22044604925031e-15
"489","d_I1",9.99200722162641e-16
"490","d_I1",4.44089209850063e-16
"491","d_I1",2.22044604925031e-16
"492","d_I1",1.11022302462516e-16
"493","d_I1",0
"494","d_I1",0
"495","d_I1",0
"496","d_I1",0
"497","d_I1",0
"498","d_I1",0
"499","d_I1",0
"500","d_I1",0
"501","d_I1",0
"502","d_I1",3.04583749444198e-07
"503","d_I1",1.30025567313119e-07
"504","d_I1",5.55073844665799e-08
"505","d_I1",2.36958755950312e-08
"506","d_I1",1.01156724108264e-08
"507","d_I1",4.31833913072666e-09
"508","d_I1",1.84348125653599e-09
"509","d_I1",7.86974596600487e-10
"510","d_I1",3.35956262809134e-10
"511","d_I1",1.43418388276473e-10
"512","d_I1",6.12246919828863e-11
"513","d_I1",2.61365373788180e-11
"514","d_I1",1.11576303751804e-11
"515","d_I1",4.76307882024685e-12
"516","d_I1",2.03337346960097e-12
"517","d_I1",8.6808338295441e-13
"518","d_I1",3.70592445619877e-13
"519","d_I1",1.58206781009085e-13
"520","d_I1",6.75015598972095e-14
"521","d_I1",2.88657986402541e-14
"522","d_I1",1.23234755733392e-14
"523","d_I1",5.21804821573824e-15
"524","d_I1",2.22044604925031e-15
"525","d_I1",9.99200722162641e-16
"526","d_I1",4.44089209850063e-16
"527","d_I1",2.22044604925031e-16
"528","d_I1",1.11022302462516e-16
"529","d_I1",0
"530","d_I1",0
"531","d_I1",0
"532","d_I1",0
"533","d_I1",0
"534","d_I1",0
"535","d_I1",0
"536","d_I1",0
"537","d_I1",0
"538","d_I1",0
"539","d_I1",0
"540","d_I1",0
"541","d_I1",0
"542","d_I1",0
"543","d_I1",0
"544","d_I1",0
"545","d_I1",0
"546","d_I1",0
"547","d_I1",0
"548","d_I1",0
"549","d_I1",0
"550","d_I1",0
"551","d_I1",0
"552","d_I1",0
"553","d_I1",0
"554","d_I1",0
"555","d_I1",0
"556","d_I1",0
"557","d_I1",3.04583749444198e-07
"558","d_I1",1.30025567313119e-07
"559","d_I1",5.55073844665799e-08
"560","d_I1",2.36958755950312e-08
"561","d_I1",1.01156724108264e-08
"562","d_I1",4.31833913072666e-09
"563","d_I1",1.84348125653599e-09
"564","d_I1",7.86974596600487e-10
"565","d_I1",3.35956262809134e-10
"566","d_I1",1.43418388276473e-10
"567","d_I1",6.12246919828863e-11
"568","d_I1",2.61365373788180e-11
"569","d_I1",1.11576303751804e-11
"570","d_I1",4.76307882024685e-12
"571","d_I1",2.03337346960097e-12
"572","d_I1",8.6808338295441e-13
"573","d_I1",3.70592445619877e-13
"574","d_I1",1.58206781009085e-13
"575","d_I1",6.75015598972095e-14
"576","d_I1",2.88657986402541e-14
"577","d_I1",1.23234755733392e-14
"578","d_I1",5.21804821573824e-15
"579","d_I1",2.22044604925031e-15
"580","d_I1",9.99200722162641e-16
"581","d_I1",3.04583749888288e-07
"582","d_I1",1.30025567424141e-07
"583","d_I1",5.55073845776022e-08
"584","d_I1",2.36958757060535e-08
"585","d_I1",1.01156724108264e-08
"586","d_I1",4.31833913072666e-09
"587","d_I1",1.84348125653599e-09
"588","d_I1",7.86974596600487e-10
"589","d_I1",3.35956262809134e-10
"590","d_I1",1.43418388276473e-10
"591","d_I1",6.12246919828863e-11
"592","d_I1",2.61365373788180e-11
"593","d_I1",1.11576303751804e-11
"594","d_I1",4.76307882024685e-12
"595","d_I1",2.03337346960097e-12
"596","d_I1",8.6808338295441e-13
"597","d_I1",3.70592445619877e-13
"598","d_I1",1.58206781009085e-13
"599","d_I1",6.75015598972095e-14
"600","d_I1",2.88657986402541e-14
"601","d_I1",1.23234755733392e-14
"602","d_I1",5.21804821573824e-15
"603","d_I1",2.22044604925031e-15
"604","d_I1",9.99200722162641e-16
"605","d_I1",4.44089209850063e-16
"606","d_I1",2.22044604925031e-16
"607","d_I1",3.04583749555221e-07
"608","d_I1",4.34609277122355e-07
"609","d_I1",1.85532944563249e-07
"610","d_I1",7.92032588403657e-08
"611","d_I1",3.3811547783813e-08
"612","d_I1",1.44340115415531e-08
"613","d_I1",6.16182049828495e-09
"614","d_I1",2.63045596415878e-09
"615","d_I1",1.12293085940962e-09
"616","d_I1",4.79374540063304e-10
"617","d_I1",2.04643080259359e-10
"618","d_I1",8.73612293617043e-11
"619","d_I1",3.72941677539984e-11
"620","d_I1",1.59207091954272e-11
"621","d_I1",6.79645228984782e-12
"622","d_I1",2.90134583025292e-12
"623","d_I1",1.23856480627182e-12
"624","d_I1",5.28799226628962e-13
"625","d_I1",2.25708340906294e-13
"626","d_I1",9.63673585374636e-14
"627","d_I1",4.11892742135933e-14
"628","d_I1",1.75415237890775e-14
"629","d_I1",7.54951656745106e-15
"630","d_I1",3.21964677141295e-15
"631","d_I1",1.33226762955019e-15
"632","d_I1",5.55111512312578e-16
"633","d_I1",2.22044604925031e-16
"634","d_I1",1.11022302462516e-16
"635","d_I1",0
"636","d_I1",0
"637","d_I1",0
"638","d_I1",0
"639","d_I1",0
"640","d_I1",0
"641","d_I1",0
"642","d_I1",0
"643","d_I1",0
"644","d_I1",0
"645","d_I1",0
"646","d_I1",0
"647","d_I1",0
"648","d_I1",0
"649","d_I1",0
"650","d_I1",0
"651","d_I1",3.04583749444198e-07
"652","d_I1",1.30025567313119e-07
"653","d_I1",5.55073844665799e-08
"654","d_I1",2.36958755950312e-08
"655","d_I1",1.01156724108264e-08
"656","d_I1",4.31833913072666e-09
"657","d_I1",1.84348125653599e-09
"658","d_I1",3.05370723818754e-07
"659","d_I1",1.30361523464906e-07
"660","d_I1",5.56508028548564e-08
"661","d_I1",2.37571002870141e-08
"662","d_I1",1.01418089482053e-08
"663","d_I1",4.32949676110184e-09
"664","d_I1",1.84824444637854e-09
"665","d_I1",7.89007970070088e-10
"666","d_I1",3.36824235169786e-10
"667","d_I1",1.4378886969979e-10
"668","d_I1",6.13828987638954e-11
"669","d_I1",2.62041499610177e-11
"670","d_I1",1.11863851515182e-11
"671","d_I1",4.77540229582019e-12
"672","d_I1",2.03859151781671e-12
"673","d_I1",8.7030382900366e-13
"674","d_I1",3.71480624039577e-13
"675","d_I1",1.58650870218935e-13
"676","d_I1",6.77236045021345e-14
"677","d_I1",2.88657986402541e-14
"678","d_I1",1.23234755733392e-14
"679","d_I1",5.21804821573824e-15
"680","d_I1",2.22044604925031e-15
"681","d_I1",9.99200722162641e-16
"682","d_I1",4.44089209850063e-16
"683","d_I1",2.22044604925031e-16
"684","d_I1",1.11022302462516e-16
"685","d_I1",0
"686","d_I1",0
"687","d_I1",0
"688","d_I1",0
"689","d_I1",0
"690","d_I1",0
"691","d_I1",0
"692","d_I1",0
"693","d_I1",0
"694","d_I1",0
"695","d_I1",0
"696","d_I1",0
"697","d_I1",0
"698","d_I1",0
"699","d_I1",0
"700","d_I1",0
"701","d_I1",0
"702","d_I1",0
"703","d_I1",0
"704","d_I1",0
"705","d_I1",0
"706","d_I1",0
"707","d_I1",0
"708","d_I1",0
"709","d_I1",0
"710","d_I1",0
"711","d_I1",0
"712","d_I1",0
"713","d_I1",0
"714","d_I1",3.04583749444198e-07
"715","d_I1",1.30025567313119e-07
"716","d_I1",5.55073844665799e-08
"717","d_I1",3.2827961782278e-07
"718","d_I1",1.40141238391678e-07
"719","d_I1",5.98257233752619e-08
"720","d_I1",2.55393568515672e-08
"721","d_I1",1.09026470074269e-08
"722","d_I1",4.65429539353579e-09
"723","d_I1",1.98689964481247e-09
"724","d_I1",8.48199288583373e-10
"725","d_I1",3.62092800187952e-10
"726","d_I1",1.54575907629351e-10
"727","d_I1",6.59878818254356e-11
"728","d_I1",2.8169910848419e-11
"729","d_I1",1.20256027358323e-11
"730","d_I1",5.13367126586672e-12
"731","d_I1",2.19158025061006e-12
"732","d_I1",9.35584942851619e-13
"733","d_I1",3.99347221957669e-13
"734","d_I1",1.70530256582424e-13
"735","d_I1",7.28306304154103e-14
"736","d_I1",3.10862446895044e-14
"737","d_I1",1.32116539930394e-14
"738","d_I1",5.6621374255883e-15
"739","d_I1",2.44249065417534e-15
"740","d_I1",9.99200722162641e-16
"741","d_I1",3.04583749666243e-07
"742","d_I1",1.30025567313119e-07
"743","d_I1",5.55073845776022e-08
"744","d_I1",2.36958755950312e-08
"745","d_I1",1.01156724108264e-08
"746","d_I1",4.31833913072666e-09
"747","d_I1",1.84348125653599e-09
"748","d_I1",7.86974596600487e-10
"749","d_I1",3.35956262809134e-10
"750","d_I1",1.43418388276473e-10
"751","d_I1",6.12246919828863e-11
"752","d_I1",2.61365373788180e-11
"753","d_I1",1.11576303751804e-11
"754","d_I1",4.76307882024685e-12
"755","d_I1",2.03337346960097e-12
"756","d_I1",8.6808338295441e-13
"757","d_I1",3.70592445619877e-13
"758","d_I1",1.58206781009085e-13
"759","d_I1",6.75015598972095e-14
"760","d_I1",2.88657986402541e-14
"761","d_I1",1.23234755733392e-14
"762","d_I1",5.21804821573824e-15
"763","d_I1",2.22044604925031e-15
"764","d_I1",9.99200722162641e-16
"765","d_I1",4.44089209850063e-16
"766","d_I1",2.22044604925031e-16
"767","d_I1",1.11022302462516e-16
"768","d_I1",0
"769","d_I1",0
"770","d_I1",0
"771","d_I1",0
"772","d_I1",0
"773","d_I1",0
"774","d_I1",0
"775","d_I1",0
"776","d_I1",0
"777","d_I1",0
"778","d_I1",0
"779","d_I1",0
"780","d_I1",0
"781","d_I1",0
"782","d_I1",0
"783","d_I1",0
"784","d_I1",3.04583749444198e-07
"785","d_I1",1.30025567313119e-07
"786","d_I1",5.55073844665799e-08
"787","d_I1",2.36958755950312e-08
"788","d_I1",1.01156724108264e-08
"789","d_I1",4.31833913072666e-09
"790","d_I1",1.84348125653599e-09
"791","d_I1",7.86974596600487e-10
"792","d_I1",3.35956262809134e-10
"793","d_I1",1.43418388276473e-10
"794","d_I1",6.12246919828863e-11
"795","d_I1",2.61365373788180e-11
"796","d_I1",1.11576303751804e-11
"797","d_I1",4.76307882024685e-12
"798","d_I1",2.03337346960097e-12
"799","d_I1",3.04584617527581e-07
"800","d_I1",1.30025937794542e-07
"801","d_I1",5.55075426733609e-08
"802","d_I1",2.36959432076134e-08
"803","d_I1",1.01157011656028e-08
"804","d_I1",4.31835145420223e-09
"805","d_I1",1.84348658560651e-09
"806","d_I1",7.86976817046536e-10
"807","d_I1",3.35957150987554e-10
"808","d_I1",1.4341872134338e-10
"809","d_I1",6.12249140274912e-11
"810","d_I1",2.61366484011205e-11
"811","d_I1",1.11576303751804e-11
"812","d_I1",4.76318984254931e-12
"813","d_I1",2.03337346960097e-12
"814","d_I1",8.6808338295441e-13
"815","d_I1",3.70592445619877e-13
"816","d_I1",1.58206781009085e-13
"817","d_I1",6.75015598972095e-14
"818","d_I1",2.88657986402541e-14
"819","d_I1",1.23234755733392e-14
"820","d_I1",5.21804821573824e-15
"821","d_I1",2.22044604925031e-15
"822","d_I1",9.99200722162641e-16
"823","d_I1",4.44089209850063e-16
"824","d_I1",2.22044604925031e-16
"825","d_I1",1.11022302462516e-16
"826","d_I1",0
"827","d_I1",0
"828","d_I1",0
"829","d_I1",0
"830","d_I1",0
"831","d_I1",0
"832","d_I1",0
"833","d_I1",0
"834","d_I1",0
"835","d_I1",3.04583749444198e-07
"836","d_I1",1.30025567313119e-07
"837","d_I1",5.55073844665799e-08
"838","d_I1",2.36958755950312e-08
"839","d_I1",1.01156724108264e-08
"840","d_I1",4.31833913072666e-09
"841","d_I1",1.84348125653599e-09
"842","d_I1",7.86974596600487e-10
"843","d_I1",3.35956262809134e-10
"844","d_I1",1.43418388276473e-10
"845","d_I1",6.12246919828863e-11
"846","d_I1",2.61365373788180e-11
"847","d_I1",1.11576303751804e-11
"848","d_I1",4.76307882024685e-12
"849","d_I1",2.03337346960097e-12
"850","d_I1",8.6808338295441e-13
"851","d_I1",3.70592445619877e-13
"852","d_I1",1.58206781009085e-13
"853","d_I1",6.75015598972095e-14
"854","d_I1",2.88657986402541e-14
"855","d_I1",1.23234755733392e-14
"856","d_I1",5.21804821573824e-15
